id,code,name,address,state,zone
3875,KTNA,Kathana,"Bhadran, Gujarat",Gujarat,WR
3876,KTNI,Kapustalni,"Amravati, Maharashtra",Maharashtra,CR
3877,KTNR,"Kirtyanand Nagar","Purnea, Bihar",Bihar,ECR
3878,KTO,Katora,"Patna, Chhattisgarh",Chhattisgarh,SECR
3879,KTOA,Kotana,"Kotana, Rajasthan",Rajasthan,NWR
3880,KTP,Katepurna,"National Highway 6, Maharashtra",Maharashtra,CR
3881,KTPK,"Kotha Pakki","National Highway 15, Rajasthan",Rajasthan,NR
3882,KTPM,Kotturpuram,"Chennai, Tamil Nadu","Tamil Nadu",SR
3883,KTQ,Kudra,"Kudra, Bihar",Bihar,ECR
3884,KTR,Kothar,"Pali, Rajasthan",Rajasthan,NWR
3885,KTRA,Kotra,"NH 75, Madhya Pradesh","Madhya Pradesh",NCR
3886,KTRD,"Katosan Road","State Highway 216, Gujarat",Gujarat,WR
3887,KTRH,Katareah,"Kumadpur, Bihar",Bihar,ECR
3888,KTRR,"Kathara Road","Kanpur Nagar, Uttar Pradesh","Uttar Pradesh",NCR
3889,KTSH,"Kotmi Sonar Halt","Kotmisunar, Chhattisgarh",Chhattisgarh,SECR
3890,KTT,Khutbav,"Shirur-Daund Rd Daund, Maharashtra",Maharashtra,CR
3891,KTTR,Kattur,"Train Station Rd, Tamil Nadu","Tamil Nadu",SR
3892,KTU,Kuttippuram,"Kuttippuram, Kerala",Kerala,SR
3893,KTV,"Kottavalasa Junction","Vizianagaram District, Andhra Pradesh","Andhra Pradesh",ECoR
3894,KTW,Kotdwara,"Kotdwara, Uttarakhand",Uttarakhand,NR
3895,KTWS,Kathuwas,"State Highway 26, Haryana",Haryana,NWR
3896,KTX,"Katakhal Junction","Hailakandi, Assam",Assam,NFR
3897,KTY,Kotturu,"Kothur Rd, Tamil Nadu","Tamil Nadu",SWR
3898,KTYM,Kottayam,"Kottayam, Kerala",Kerala,SR
3899,KTYR,Kottaiyur,"Kottaiyur, Tamil Nadu","Tamil Nadu",SR
3900,KTZ,Khutwansa,"Hoshangabad, Madhya Pradesh","Madhya Pradesh",WCR
3901,KU,Kulikarai,"Thiruvarur - Mannargudi Rd, Tamil Nadu","Tamil Nadu",SR
3902,KUA,Kulharia,"Chandi Sahar Rd, Bihar",Bihar,ECR
3903,KUB,Kasba,"Kasba, Bihar",Bihar,NFR
3904,KUC,Karukkutty,"Ernakulam District, Kerala",Kerala,SR
3905,KUD,Kudachi,"Kudchi, Karnataka",Karnataka,SWR
3906,KUDA,Kundapura,"Basrur, Karnataka",Karnataka,KR
3907,KUDL,Kudal,"Kudal, Maharashtra",Maharashtra,KR
3908,KUDN,Kudni,"MDR 101, Punjab",Punjab,NR
3909,KUE,Kursela,"NH 31, Bihar",Bihar,ECR
3910,KUF,Kaurha,"SH 25, Uttar Pradesh","Uttar Pradesh",NR
3911,KUG,Kusugali,"National Highway 63, Karnataka",Karnataka,SWR
3912,KUGT,Kumarghat,"Kumarghat, Tripura",Tripura,NFR
3913,KUH,Khachrod,"Ujjain, Madhya Pradesh","Madhya Pradesh",WR
3914,KUHI,Kuhi,"Nagpur, Maharashtra",Maharashtra,SECR
3915,KUI,Kulali,"Bhognalli - Ravoor - Dudhani Rd, Karnataka",Karnataka,CR
3916,KUK,Korukonda,"Korukonda, Andhra Pradesh","Andhra Pradesh",ECoR
3917,KUL,"Kallayi Kozhikode South","Calicut, Kerala",Kerala,SR
3918,KUM,Kuram,"Akola, Maharashtra",Maharashtra,CR
3919,KUMB,Kumarbagh,"Kumarbagh, Bihar",Bihar,ECR
3920,KUMM,Kumbalam,"Ernakulam, Kerala",Kerala,SR
